"ID";"LeeftijdReferentiepersoon";"RegioS";"Perioden";"TotaalParticuliereHuishoudens_21"
"1843";"10000";"GM1959";"2018JJ00";
"1844";"10000";"GM1959";"2019JJ00";"22014"
"1845";"10000";"GM1959";"2020JJ00";"22357"
"1846";"10000";"GM1959";"2021JJ00";"22655"
"1847";"10000";"GM1959";"2022JJ00";"23007"
"1848";"10000";"GM1959";"2023JJ00";"23447"
"1849";"10000";"GM1959";"2024JJ00";"23927"
"1850";"10000";"GM0142";"2000JJ00";"1813"
"1851";"10000";"GM0142";"2001JJ00";
"1852";"10000";"GM0142";"2002JJ00";
"1853";"10000";"GM0142";"2003JJ00";
"1854";"10000";"GM0142";"2004JJ00";
"1855";"10000";"GM0142";"2005JJ00";
"1856";"10000";"GM0142";"2006JJ00";
"1857";"10000";"GM0142";"2007JJ00";
"1858";"10000";"GM0142";"2008JJ00";
"1859";"10000";"GM0142";"2009JJ00";
"1860";"10000";"GM0142";"2010JJ00";
"1861";"10000";"GM0142";"2011JJ00";
"1862";"10000";"GM0142";"2012JJ00";
"1863";"10000";"GM0142";"2013JJ00";
"1864";"10000";"GM0142";"2014JJ00";
"1865";"10000";"GM0142";"2015JJ00";
"1866";"10000";"GM0142";"2016JJ00";
"1867";"10000";"GM0142";"2017JJ00";
"1868";"10000";"GM0142";"2018JJ00";
"1869";"10000";"GM0142";"2019JJ00";
"1870";"10000";"GM0142";"2020JJ00";
"1871";"10000";"GM0142";"2021JJ00";
"1872";"10000";"GM0142";"2022JJ00";
"1873";"10000";"GM0142";"2023JJ00";
"1874";"10000";"GM0142";"2024JJ00";
"1875";"10000";"GM1679";"2000JJ00";"4281"
"1876";"10000";"GM1679";"2001JJ00";"4290"
"1877";"10000";"GM1679";"2002JJ00";"4314"
"1878";"10000";"GM1679";"2003JJ00";"4345"
"1879";"10000";"GM1679";"2004JJ00";"4370"
"1880";"10000";"GM1679";"2005JJ00";"4379"
"1881";"10000";"GM1679";"2006JJ00";"4440"
"1882";"10000";"GM1679";"2007JJ00";
"1883";"10000";"GM1679";"2008JJ00";
"1884";"10000";"GM1679";"2009JJ00";
"1885";"10000";"GM1679";"2010JJ00";
"1886";"10000";"GM1679";"2011JJ00";
"1887";"10000";"GM1679";"2012JJ00";
"1888";"10000";"GM1679";"2013JJ00";
"1889";"10000";"GM1679";"2014JJ00";
"1890";"10000";"GM1679";"2015JJ00";
